,Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Type of gear,Mode of fishing,Mode of fishing collapsed,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection
848,2020-03-16,2,1210,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.5,Yes,4
849,2020-03-16,2,1120,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,4
850,2020-03-16,2,1234,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.5,Yes,1
852,2020-03-16,2,1632,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.5,No,0
870,2020-03-16,2,1312,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,KINGFISH GENUS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.0,Yes,6
873,2020-03-16,1,1506,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SOUTHERN KINGFISH,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,No,0
874,2020-03-16,1,1506,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SOUTHERN KINGFISH,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,No,0
882,2020-03-16,1,1542,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.5,Yes,1
884,2020-03-16,1,1639,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,STRIPED BASS,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,6.0,Yes,6
887,2020-03-16,2,1134,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,1
890,2020-03-16,2,1537,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,3
903,2020-03-16,1,1338,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,8
910,2020-03-16,1,1523,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SHEEPSHEAD,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,1
913,2020-03-16,1,1204,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.5,2.0,Yes,1
915,2020-03-16,1,1525,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,6.0,Yes,3
916,2020-03-16,1,1600,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.5,5.0,Yes,4
917,2020-03-16,1,1425,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,7.0,5.0,Yes,4
919,2020-03-16,1,1125,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.5,3.0,Yes,2
920,2020-03-16,1,1137,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.5,4.0,Yes,4
921,2020-03-16,1,1236,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.5,4.0,Yes,5
929,2020-03-16,1,1427,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,2.0,Yes,1
930,2020-03-16,1,1431,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,2.0,Yes,1
937,2020-03-16,2,1452,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,BLACK DRUM,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,8.0,7.0,Yes,3
944,2020-03-16,1,1112,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.0,Yes,8
945,2020-03-16,1,1157,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.5,Yes,4
948,2020-03-16,1,1121,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.0,Yes,3
951,2020-03-16,1,1208,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,3
953,2020-03-16,1,1235,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,7
958,2020-03-16,1,1700,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,11.0,10.0,Yes,6
962,2020-03-16,1,1240,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,3.0,Yes,3
963,2020-03-16,1,1249,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,4.0,Yes,4
964,2020-03-16,1,1321,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,6.0,Yes,3
965,2020-03-16,1,1324,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,6.0,Yes,1
967,2020-03-16,1,1501,January/February,South Atlantic (NC; SC; GA; EFL),Weekday,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,3.0,2.5,Yes,1
968,2020-03-16,1,1443,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,5
969,2020-03-16,1,1443,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,4.0,3.5,Yes,1
970,2020-03-16,1,1645,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,2.5,2.5,Yes,8
980,2020-03-16,1,1240,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,4.5,Yes,1
985,2020-03-16,1,1205,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,4.5,Yes,8
987,2020-03-16,1,1303,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,5.0,No,0
988,2020-03-16,1,1303,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,5.0,5.0,No,0
989,2020-03-16,1,1340,January/February,South Atlantic (NC; SC; GA; EFL),Weekend,SPOTTED SEATROUT,hook & line,Private/Rental boat,Private/Rental Boat,Inland,not applicable,6.0,5.0,Yes,7
